transaction_id,amount,transaction_type,channel,time_of_day_hour,account_age_days,daily_transaction_count,failed_login_attempts,distance_from_home_km,is_foreign_transaction,is_fraud
TXN-10000,66.7,Transfer,Mobile_App,11,208,3,0,30.7,0,0
TXN-10001,33.58,Purchase,Mobile_App,11,413,5,0,2.1,0,0
TXN-10002,42.38,Debit,POS_Terminal,8,249,3,0,13.0,0,0
TXN-10003,59.52,Cash_Out,Mobile_App,14,27,1,0,7.2,0,0
TXN-10004,449.33,Payment,POS_Terminal,13,62,2,0,11.8,0,0
TXN-10005,152.06,Payment,Mobile_App,18,75,6,0,9.5,0,0
TXN-10006,133.22,Payment,POS_Terminal,3,90,3,0,0.7,0,0
TXN-10007,46.75,Purchase,POS_Terminal,15,251,4,0,5.7,0,0
TXN-10008,33.24,Cash_Out,Mobile_App,17,211,1,0,2.0,0,0
TXN-10009,44.84,Debit,Mobile_App,17,69,2,2,10.1,0,0
TXN-10010,147.76,Payment,Mobile_App,19,21,3,0,35.7,0,0
TXN-10011,277.56,Purchase,Web_Browser,16,57,2,0,81.2,0,0
TXN-10012,23.26,Debit,Web_Browser,20,1248,5,0,43.3,0,0
TXN-10013,5.49,Payment,Web_Browser,11,190,4,0,63.7,1,0
TXN-10014,42.49,Payment,Mobile_App,13,607,1,0,0.2,0,0
TXN-10015,4677.93,Payment,Mobile_App,1,567,3,0,19.6,0,1
TXN-10016,30.86,Payment,Mobile_App,0,215,3,0,4.8,0,0
TXN-10017,7892.46,Transfer,Mobile_App,9,368,6,0,30.1,0,1
TXN-10018,17.73,Transfer,Web_Browser,7,65,4,0,25.2,0,0
TXN-10019,40.69,Payment,POS_Terminal,10,350,6,0,8.3,0,0
TXN-10020,24.81,Cash_Out,Web_Browser,8,96,4,0,9.6,0,0
TXN-10021,46.86,Payment,Mobile_App,2,536,2,0,4.6,0,0
TXN-10022,66.89,Payment,ATM,19,27,4,0,5.1,0,0
TXN-10023,108.96,Transfer,Web_Browser,0,446,5,0,59.6,0,0
TXN-10024,35.89,Transfer,ATM,16,32,3,0,33.0,0,0
TXN-10025,17.52,Debit,Web_Browser,8,640,3,0,3.2,0,0
TXN-10026,11.93,Payment,Mobile_App,19,109,6,0,4.8,0,0
TXN-10027,161.17,Transfer,Mobile_App,19,319,6,0,1.7,0,0
TXN-10028,24.17,Cash_Out,Web_Browser,15,201,2,0,67.5,0,0
TXN-10029,91.44,Payment,Mobile_App,15,137,3,0,35.7,0,0
TXN-10030,5532.65,Cash_Out,Mobile_App,0,312,4,1,12.0,0,1
TXN-10031,262.42,Payment,Web_Browser,22,885,6,0,939.8,0,0
TXN-10032,883.35,Payment,Web_Browser,19,13,4,0,20.7,0,0
TXN-10033,75.9,Purchase,Web_Browser,19,754,6,0,3.4,0,0
TXN-10034,40.88,Purchase,Mobile_App,15,282,3,0,40.9,0,0
TXN-10035,230.16,Debit,Mobile_App,11,495,3,0,11.2,0,0
TXN-10036,33.25,Payment,Web_Browser,19,146,1,0,1.5,0,0
TXN-10037,57.42,Payment,ATM,10,192,3,0,7.6,0,0
TXN-10038,2985.77,Cash_Out,Web_Browser,14,610,1,0,13.8,1,1
TXN-10039,50.55,Transfer,ATM,7,161,2,0,6.5,0,0
TXN-10040,173.57,Payment,POS_Terminal,20,230,4,0,18.0,0,0
TXN-10041,34.46,Transfer,Web_Browser,7,7,6,0,32.1,0,0
TXN-10042,35.02,Payment,Mobile_App,9,52,3,3,22.2,0,0
TXN-10043,35.29,Purchase,Web_Browser,14,308,1,0,15.4,0,0
TXN-10044,388.7,Payment,Web_Browser,17,379,3,0,10.8,0,0
TXN-10045,68.54,Cash_Out,Web_Browser,15,263,3,2,1439.0,0,0
TXN-10046,56.76,Payment,Mobile_App,9,47,2,0,9.1,0,0
TXN-10047,36.42,Transfer,Web_Browser,0,177,6,0,5.2,0,0
TXN-10048,152.66,Transfer,Mobile_App,17,132,6,0,40.8,0,0
TXN-10049,24.39,Payment,Web_Browser,22,206,1,0,35.7,0,0
TXN-10050,192.05,Purchase,Mobile_App,18,613,2,0,2.5,0,0
TXN-10051,48.56,Debit,POS_Terminal,12,449,3,0,25.9,0,0
TXN-10052,176.16,Purchase,Mobile_App,19,27,2,0,18.2,0,0
TXN-10053,37.75,Purchase,Mobile_App,12,664,6,0,55.5,0,0
TXN-10054,123.75,Cash_Out,Mobile_App,13,192,2,0,9.3,0,0
TXN-10055,93.66,Purchase,Web_Browser,13,409,2,0,19.2,0,0
TXN-10056,51.43,Payment,Mobile_App,12,46,1,0,2442.5,0,0
TXN-10057,214.61,Payment,Mobile_App,17,334,5,0,1.1,0,0
TXN-10058,199.52,Payment,Web_Browser,13,81,2,0,0.7,0,0
TXN-10059,28.65,Payment,Mobile_App,10,174,3,0,2.0,0,0
TXN-10060,6287.99,Transfer,ATM,10,6,3,0,5.3,0,1
TXN-10061,4358.48,Payment,ATM,3,50,5,1,4.5,0,1
TXN-10062,40.54,Debit,Web_Browser,14,29,2,0,19.5,0,0
TXN-10063,154.38,Transfer,Mobile_App,9,83,1,2,18.9,0,0
TXN-10064,78.15,Payment,Web_Browser,8,32,3,0,53.3,0,0
TXN-10065,22.21,Transfer,Mobile_App,15,354,6,0,5.6,0,0
TXN-10066,23.27,Payment,Mobile_App,16,9,6,1,41.8,0,0
TXN-10067,61.11,Debit,Mobile_App,17,289,1,1,14.2,0,0
TXN-10068,129.83,Payment,ATM,13,46,6,0,10.3,0,0
TXN-10069,261.09,Purchase,Mobile_App,19,872,2,0,16.5,0,0
TXN-10070,64.83,Debit,Web_Browser,20,812,4,0,18.2,0,0
TXN-10071,48.22,Payment,Web_Browser,17,77,6,1,2.8,0,0
TXN-10072,43.65,Payment,Mobile_App,15,286,4,0,303.7,0,0
TXN-10073,26.35,Debit,Mobile_App,10,9,5,1,19.4,0,0
TXN-10074,50.51,Debit,ATM,22,806,2,0,90.1,0,0
TXN-10075,33.55,Debit,Web_Browser,10,223,8,0,36.4,0,0
TXN-10076,6296.35,Debit,Web_Browser,9,14,2,0,17.3,0,1
TXN-10077,4943.21,Payment,Mobile_App,12,126,3,1,1415.9,0,1
TXN-10078,5532.32,Transfer,Mobile_App,5,24,6,1,43.8,0,1
TXN-10079,8.03,Payment,Mobile_App,21,150,3,0,51.2,0,0
TXN-10080,21.09,Purchase,Mobile_App,14,333,1,0,26.3,0,0
TXN-10081,120.49,Cash_Out,Mobile_App,14,191,4,0,21.9,0,0
TXN-10082,77.49,Payment,POS_Terminal,15,146,4,0,1.8,0,0
TXN-10083,139.87,Payment,Mobile_App,13,39,7,0,26.6,0,0
TXN-10084,10.48,Payment,Mobile_App,3,85,3,0,4.4,0,0
TXN-10085,91.13,Payment,Web_Browser,15,32,2,1,957.3,0,0
TXN-10086,12.96,Debit,POS_Terminal,16,495,4,0,7.8,0,0
TXN-10087,18.52,Cash_Out,Mobile_App,12,44,4,0,6.4,0,0
TXN-10088,14.92,Purchase,Web_Browser,17,272,4,0,5.6,0,0
TXN-10089,17.65,Transfer,Mobile_App,9,126,4,0,29.0,0,0
TXN-10090,766.72,Payment,Mobile_App,9,77,3,3,22.0,0,1
TXN-10091,92.83,Debit,Mobile_App,8,307,6,1,11.1,0,0
TXN-10092,8.6,Debit,POS_Terminal,11,184,2,0,16.4,0,0
TXN-10093,11.34,Cash_Out,Mobile_App,18,154,4,0,62.5,0,0
TXN-10094,59.19,Debit,Mobile_App,18,270,5,0,7.6,0,0
TXN-10095,64.6,Transfer,Mobile_App,11,203,2,0,12.0,0,0
TXN-10096,28.9,Transfer,POS_Terminal,14,109,5,0,11.4,0,0
TXN-10097,295.62,Transfer,Mobile_App,16,246,1,0,41.2,0,0
TXN-10098,22.42,Payment,Mobile_App,9,333,4,1,6.5,0,0
TXN-10099,138.27,Payment,Mobile_App,8,9,4,0,64.3,0,0
TXN-10100,8062.49,Payment,Mobile_App,21,189,5,3,5.5,0,1
TXN-10101,603.8,Cash_Out,Web_Browser,15,18,5,0,1.7,0,0
TXN-10102,630.16,Payment,Web_Browser,22,62,3,1,3.2,0,0
TXN-10103,6193.37,Transfer,Mobile_App,11,247,4,0,8.3,1,1
TXN-10104,56.61,Purchase,Mobile_App,16,604,2,0,15.7,0,0
TXN-10105,78.05,Payment,Mobile_App,9,644,4,0,10.9,0,0
TXN-10106,100.95,Transfer,Mobile_App,10,22,5,1,7.1,0,0
TXN-10107,8.5,Debit,Mobile_App,13,163,3,0,12.4,0,0
TXN-10108,12.2,Payment,POS_Terminal,10,263,3,0,27.4,0,0
TXN-10109,144.72,Payment,ATM,8,48,4,1,27.4,0,0
TXN-10110,214.13,Payment,ATM,10,436,2,0,442.3,0,0
TXN-10111,241.61,Payment,POS_Terminal,3,410,3,0,45.7,0,1
TXN-10112,44.13,Purchase,Web_Browser,16,701,2,0,1199.7,0,0
TXN-10113,75.75,Debit,Web_Browser,13,3,5,0,0.1,0,0
TXN-10114,34.53,Cash_Out,Mobile_App,6,74,6,0,5.2,0,0
TXN-10115,343.51,Purchase,Web_Browser,8,527,3,0,6.0,0,0
TXN-10116,37.02,Debit,Mobile_App,7,334,5,0,11.9,0,0
TXN-10117,24.98,Payment,Mobile_App,15,675,6,0,35.3,0,0
TXN-10118,46.54,Purchase,POS_Terminal,6,18,6,0,27.3,0,0
TXN-10119,36.92,Transfer,Mobile_App,17,273,1,0,4.0,0,0
TXN-10120,50.81,Debit,Mobile_App,2,253,1,1,11.0,0,0
TXN-10121,134.59,Purchase,ATM,9,11,6,0,16.1,0,0
TXN-10122,62.0,Payment,Mobile_App,19,217,3,3,65.7,1,1
TXN-10123,30.21,Payment,Mobile_App,16,283,1,0,0.5,0,0
TXN-10124,28.4,Payment,ATM,6,64,2,0,9.4,0,0
TXN-10125,31.94,Transfer,Web_Browser,18,96,3,0,1674.7,0,0
TXN-10126,7.81,Debit,Web_Browser,13,307,2,0,56.7,0,0
TXN-10127,134.82,Purchase,Mobile_App,18,190,2,0,6.0,0,0
TXN-10128,101.2,Payment,Mobile_App,14,586,8,0,0.0,0,0
